*affixoidy, které se nenachází ve svých dětech
*přebývá hrana	zkoumané slovo	nalezené slovo
přebývá hrana	fag	oligofág
přebývá hrana	fob	radiofóbie
přebývá hrana	fob	technofóbie
přebývá hrana	kardi	myocard
přebývá hrana	kinet	bradykinéza
přebývá hrana	krat	androkracie
přebývá hrana	krat	aristokracie
přebývá hrana	krat	autokracie
přebývá hrana	krat	byrokracie
přebývá hrana	krat	demokracie
přebývá hrana	krat	etnokracie
přebývá hrana	krat	eurobyrokracie
přebývá hrana	krat	eurokracie
přebývá hrana	krat	fízlokracie
přebývá hrana	krat	gerontokracie
přebývá hrana	krat	idiosynkracie
přebývá hrana	krat	meritokracie
přebývá hrana	krat	monokracie
přebývá hrana	krat	nomokracie
přebývá hrana	krat	ochlokracie
přebývá hrana	krat	plutokracie
přebývá hrana	krat	polykracie
přebývá hrana	krat	soudcokracie
přebývá hrana	krat	stranokracie
přebývá hrana	krat	synkracie
přebývá hrana	krat	technokracie
přebývá hrana	krat	teokracie
přebývá hrana	krat	tyranokracie
přebývá hrana	krat	tímokracie
přebývá hrana	ly	pneumatolýza
přebývá hrana	ly	trombolýza
přebývá hrana	malak	osteomalacie
přebývá hrana	mant	geomancie
přebývá hrana	mant	nekromancie
přebývá hrana	mant	ofiomancie
přebývá hrana	mant	omfalomancie
přebývá hrana	odont	hyperodoncie
přebývá hrana	odont	makrodoncie
přebývá hrana	odont	mikrodoncie
přebývá hrana	odont	ortodoncie
přebývá hrana	odont	polyodoncie
přebývá hrana	ot	mikrocie
přebývá hrana	paid	encyklopedie
přebývá hrana	paid	etopedie
přebývá hrana	paid	hypnopedie
přebývá hrana	paid	logopedie
přebývá hrana	paid	oftalmopedie
přebývá hrana	paid	ortopedie
přebývá hrana	paid	psychopedie
přebývá hrana	paid	somatopedie
přebývá hrana	paid	sugestopedie
přebývá hrana	paid	surdopedie
přebývá hrana	paid	wikipedie
přebývá hrana	pes	bipedie
přebývá hrana	pes	orthopedie
přebývá hrana	plan	raketoplán
přebývá hrana	pneu	tachypnoe
přebývá hrana	takt	architektura
přebývá hrana	thek	filmotéka
