*osamocená nouns,která by měla být připojena k číslovkám
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	desítka	deset
chybí hrana	devadesátdevítka	devět
chybí hrana	devadesátdevítka	devadesát
chybí hrana	devadesátdvojka	dva
chybí hrana	devadesátdvojka	devadesát
chybí hrana	devadesátjednička	jedna
chybí hrana	devadesátjednička	devadesát
chybí hrana	devadesátpětka	pět
chybí hrana	devadesátpětka	devadesát
chybí hrana	devadesátčtyřka	čtyři
chybí hrana	devadesátčtyřka	devadesát
chybí hrana	devadesátšestka	šest
chybí hrana	devadesátšestka	devadesát
chybí hrana	devítka	devět
chybí hrana	devětsetjednička	jedna
chybí hrana	devětsetjednička	devětset
chybí hrana	dvacetdevítka	devět
chybí hrana	dvacetdevítka	dvacet
chybí hrana	dvacetdvojka	dva
chybí hrana	dvacetdvojka	dvacet
chybí hrana	dvacetišestka	šest
chybí hrana	dvacetjednička	jedna
chybí hrana	dvacetjednička	dvacet
chybí hrana	dvacetpětka	pět
chybí hrana	dvacetpětka	dvacet
chybí hrana	dvacettrojka	tři
chybí hrana	dvacettrojka	dvacet
chybí hrana	dvacetčtyřka	čtyři
chybí hrana	dvacetčtyřka	dvacet
chybí hrana	dvanáctka	dvanáct
chybí hrana	dvanáctsetjednička	jedna
chybí hrana	dvanáctsettrojka	tři
chybí hrana	dvaosmšestka	šest
chybí hrana	dvojkařka	dva
chybí hrana	dvojkařka	dvojkařka
chybí hrana	dvěstědevítka	devět
chybí hrana	dvěstědevítka	dvěstě
chybí hrana	dvěstěosmdesátšestka	šest
chybí hrana	dvěstěosmička	osm
chybí hrana	dvěstěosmička	dvěstě
chybí hrana	dvěstěsedmička	sedm
chybí hrana	dvěstěsedmička	dvěstě
chybí hrana	dvěstěšestka	šest
chybí hrana	dvěstěšestka	dvěstě
chybí hrana	déjednička	jedna
chybí hrana	déjednička	dé
chybí hrana	efjednička	jedna
chybí hrana	efjednička	ef
chybí hrana	empétrojka	tři
chybí hrana	erpětka	pět
chybí hrana	jedenáctka	jedenáct
chybí hrana	jednička	jedna
chybí hrana	miničtyřka	čtyři
chybí hrana	miničtyřka	mini
chybí hrana	osmička	osm
chybí hrana	osmsetpětka	pět
chybí hrana	osmsetpětka	osmset
chybí hrana	patnáctka	patnáct
chybí hrana	perestrojkařka	tři
chybí hrana	perestrojkařka	perestrojkařka
chybí hrana	protitrojka	tři
chybí hrana	protitrojka	proti
chybí hrana	pětkařka	pět
chybí hrana	pětkařka	pětkařka
chybí hrana	pětosmšestka	šest
chybí hrana	pětsetjednička	jedna
chybí hrana	pětsetjednička	pětset
chybí hrana	rozdvojka	dva
chybí hrana	sedmička	sedm
chybí hrana	sedumnáctka	sedumnáct
chybí hrana	stodevítka	devět
chybí hrana	stodevítka	sto
chybí hrana	stodvacetjednička	jedna
chybí hrana	stodvacetosmička	osm
chybí hrana	stodvojka	dva
chybí hrana	stodvojka	sto
chybí hrana	stojednička	jedna
chybí hrana	stojednička	sto
chybí hrana	stoosmdesátjednička	jedna
chybí hrana	stoosmdesátjednička	stoosmdesát
chybí hrana	stoosmička	osm
chybí hrana	stoosmička	sto
chybí hrana	stopadesátdevítka	devět
chybí hrana	stopadesátdevítka	stopadesát
chybí hrana	stopadesátdvojka	dva
chybí hrana	stopadesátdvojka	stopadesát
chybí hrana	stopadesátosmička	osm
chybí hrana	stopadesátosmička	stopadesát
chybí hrana	stopadesátpětka	pět
chybí hrana	stopadesátpětka	stopadesát
chybí hrana	stopadesátšestka	šest
chybí hrana	stopadesátšestka	stopadesát
chybí hrana	stosedmdesátsedmička	sedm
chybí hrana	stosedmička	sedm
chybí hrana	stosedmička	sto
chybí hrana	stotřicetdvojka	dva
chybí hrana	stotřicetdvojka	stotřicet
chybí hrana	stotřicetsedmička	sedm
chybí hrana	stotřicetsedmička	stotřicet
chybí hrana	stotřicetčtyřka	čtyři
chybí hrana	stotřicetčtyřka	stotřicet
chybí hrana	stotřicetšestka	šest
chybí hrana	stotřicetšestka	stotřicet
chybí hrana	stočtyřicetsedmička	sedm
chybí hrana	stočtyřicetšestka	šest
chybí hrana	stočtyřka	čtyři
chybí hrana	stočtyřka	sto
chybí hrana	stošedesátosmička	osm
chybí hrana	stošedesátšestka	šest
chybí hrana	stošestka	šest
chybí hrana	stošestka	sto
chybí hrana	superdevítka	devět
chybí hrana	superosmička	osm
chybí hrana	supersedmička	sedm
chybí hrana	trojka	tři
chybí hrana	trojkařka	tři
chybí hrana	trojkařka	trojkařka
chybí hrana	třijednička	jedna
chybí hrana	třijednička	tři
chybí hrana	třiosmšestka	šest
chybí hrana	třistaosmdesátšestka	šest
chybí hrana	vosmička	osm
chybí hrana	vosmička	v
chybí hrana	vosumnáctka	vosumnáct
chybí hrana	čtyřicetosmička	osm
chybí hrana	čtyřicetosmička	čtyřicet
chybí hrana	čtyřicetsedmička	sedm
chybí hrana	čtyřicetsedmička	čtyřicet
chybí hrana	čtyřiosmšestka	šest
chybí hrana	čtyřistadesítka	deset
chybí hrana	čtyřistadesítka	čtyřista
chybí hrana	čtyřistaosmdesátšestka	šest
chybí hrana	čtyřistapětka	pět
chybí hrana	čtyřistapětka	čtyřista
chybí hrana	čtyřistasedmdesáttrojka	tři
chybí hrana	čtyřistasedmička	sedm
chybí hrana	čtyřistasedmička	čtyřista
chybí hrana	čtyřistatrojka	tři
chybí hrana	čtyřistatrojka	čtyřista
chybí hrana	čtyřistašestka	šest
chybí hrana	čtyřistašestka	čtyřista
chybí hrana	čtyřka	čtyři
chybí hrana	čtyřkařka	čtyři
chybí hrana	čtyřkařka	čtyřkařka
chybí hrana	šedesátidevítka	devět
chybí hrana	šestka	šest
chybí hrana	šestkařka	šest
chybí hrana	šestkařka	šestkařka
chybí hrana	šestsedvojka	dva
chybí hrana	šestsetdvojka	dva
chybí hrana	šestsetdvojka	šestset
chybí hrana	šestsetosmdesátšestka	šest
chybí hrana	šestsettrojka	tři
chybí hrana	šestsettrojka	šestset
